,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
15017,44:03.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,80,64794,,,,
15062,44:03.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,80,64795,,,,
15065,44:03.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,80,64795,,,,
15067,44:03.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,80,64795,,,,
15085,44:03.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,80,64795,,,,
16770,44:03.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
16851,44:03.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
16857,44:04.0,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17148,44:04.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17150,44:04.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17151,44:04.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17177,44:04.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17179,44:04.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17181,44:04.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17399,44:05.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17407,44:05.2,00:17:88:77:35:80,0a:0f:24:37:5b:39,136.141.1.119,192.168.209.117,,,,,,
17408,44:05.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17409,44:05.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17410,44:05.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17411,44:05.2,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17422,44:05.3,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17681,44:05.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17682,44:05.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17683,44:05.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17885,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17886,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17887,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17888,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17890,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17929,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17930,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17931,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17933,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17934,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17935,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
17936,44:06.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18038,44:07.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18046,44:07.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18054,44:07.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18207,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18208,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18213,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18214,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18218,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18219,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18220,44:08.8,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18227,44:08.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18228,44:08.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18233,44:08.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
18236,44:08.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,192.168.1.122,,,1900,63836,,
