,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
808498,18:17.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
808502,18:17.0,e0:cb:4e:31:20:6c,6c:fd:b9:4f:70:0b,,,,,,,,
808524,18:17.7,f4:0f:24:37:5b:39,6c:fd:b9:4f:70:0b,,,,,,,,
808525,18:17.7,f4:0f:24:37:5b:39,6c:fd:b9:4f:70:0b,,,,,,,,
808527,18:17.7,f4:0f:24:37:5b:39,6c:fd:b9:4f:70:0b,,,,,,,,
808528,18:17.7,f4:0f:24:37:5b:39,6c:fd:b9:4f:70:0b,,,,,,,,
808537,18:18.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
808539,18:18.0,e0:cb:4e:31:20:6c,fc:6b:f0:0a:c3:43,,,,,,,,
808541,18:18.0,f4:0f:24:37:5b:39,fc:6b:f0:0a:c3:43,,,,,,,,
808544,18:18.1,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
808593,18:21.0,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
808632,18:22.3,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
808665,18:24.2,fc:6b:f0:0a:c3:43,08:00:11:64:fd:56,7c:32:20:a1:df:25,,,,,,,
808689,18:25.3,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
808691,18:25.3,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,47.91.156.175,192.168.1.111,12306,40100.0,,,,
808693,18:25.3,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
808876,18:29.4,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808878,18:29.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808880,18:29.6,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808882,18:29.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808884,18:29.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808887,18:29.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808889,18:30.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808891,18:30.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
808926,18:31.5,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
808933,18:31.9,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
809035,18:37.6,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809037,18:37.6,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,120.77.100.46,192.168.1.111,12306,40099.0,,,,
809039,18:37.6,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
809110,18:41.5,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
809116,18:41.9,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
