frame.time,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,
May-05, 2019 18:57:15.896501000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.950597000 Jerusalem Daylight Time,8e:0b:fa:ae:23:61,07:0e:08:4c:5e:46,,,,,,
May-05, 2019 18:57:15.998894000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.101301000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.203576000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.280778000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:16.281381000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:16.281456000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.306095000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.408524000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.487632000 Jerusalem Daylight Time,7f:8a:7b:ec:3e:a2,8c:7e:3c:42:3c:3e,,,,,,
May-05, 2019 18:57:16.510915000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.613284000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.715556000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.818092000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.906636000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.906704000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.920465000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.921248000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.921340000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.925485000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.925576000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.941462000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.941553000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.945511000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:63:d3:39:bf,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.945578000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.958032000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.958115000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.958164000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.962488000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.962579000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.976205000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.976296000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.980033000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.980124000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.993422000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.993514000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.997462000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997529000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997860000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997931000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.023204000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.023309000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.023380000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.028490000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:17.028558000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.029687000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029769000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029817000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029865000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.030475000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.030562000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.030644000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.032436000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033750000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033823000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033870000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,00:1c:10:f7:cd:bc,192.168.1.112,213.57.2.5,,,47824,53
May-05, 2019 18:57:17.033947000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,00:1c:10:f7:cd:bc,192.168.1.112,213.57.22.5,,,55161,53
May-05, 2019 18:57:17.033997000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.040665000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.040757000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.045488000 Jerusalem Daylight Time,ae:01:97:14:93:7c,8d:d0:81:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.045538000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.047766000 Jerusalem Daylight Time,64:71:32:99:bc:7f,41:aa:d6:3f:24:c5,,,,,,
May-05, 2019 18:57:17.048218000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.048299000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.049247000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.049843000 Jerusalem Daylight Time,bf:c7:5c:db:03:f6,3f:49:c9:cc:1e:7b,,,,,,
May-05, 2019 18:57:17.049910000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.050845000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.2.5,192.168.1.112,,,53,47824
